pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,10/3/22,87,-1.78,6.75,"Mikolas, Miles",668804,571945,,ball,,,,,14,Bryan Reynolds doubles (18) on a sharp fly ball to center fielder Dylan Carlson.   Jason Delay scores.,R,L,R,PIT,STL,B,,,0,1,2022,0.32,0.45,1.56,2.16,,641511,,1,6,Bot,,,,,668800,,,7.320352977,-126.5128398,-5.748102621,2.106798149,24.07787844,-26.43745052,2.96,1.4,,,,87,2292,6.2,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.33,,,,,,,,47,2,Slider,0,2,0,2,2,0,0,2,Strategic,Standard,209,0,0.029
CU,10/3/22,74.6,-1.75,6.82,"Mikolas, Miles",668804,571945,,foul,,,,,13,Bryan Reynolds doubles (18) on a sharp fly ball to center fielder Dylan Carlson.   Jason Delay scores.,R,L,R,PIT,STL,S,,,0,0,2022,0.37,-1.47,-1.1,1.79,,641511,,1,6,Bot,,,,,668800,,,0.67360622,-108.6131067,-0.509107458,2.801514654,20.8962506,-43.85118203,3.16,1.53,16,54.2,-5,74,2391,6,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.45,,,,,,,,47,1,Curveball,0,2,0,2,2,0,0,2,Strategic,Standard,17,0,-0.043
SL,10/3/22,85.7,-1.91,6.71,"Mikolas, Miles",621028,571945,field_out,hit_into_play,,,,,5,"Kevin Newman grounds out, third baseman Juan Yepez to first baseman Paul Goldschmidt.",R,R,R,PIT,STL,X,5,ground_ball,0,0,2022,0.35,0.23,0.11,2.74,,641511,,0,6,Bot,102.86,162.05,,,668800,,,4.054348209,-124.7923883,-3.608637193,2.943696694,23.89214447,-29.27056066,3.36,1.61,5,86.8,-30,85.7,2240,6.1,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.36,0.054,0.049,0,1,0,0,2,46,1,Slider,0,2,0,2,2,0,0,2,Standard,Standard,185,-0.065,-0.261
SL,10/3/22,86.6,-2.09,6.58,"Mikolas, Miles",641511,571945,double,hit_into_play,,,,,5,Jason Delay doubles (6) on a line drive to right fielder Lars Nootbaar.,R,R,R,PIT,STL,X,9,line_drive,2,2,2022,0.33,0.1,-0.01,2.29,,,,0,6,Bot,173.06,61,,,668800,,,4.288424423,-126.0724119,-4.303710368,2.735495753,24.0907629,-30.47875396,3.32,1.53,313,94,20,86.9,2403,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.21,0.266,0.279,1.25,1,1,1,4,45,6,Slider,0,2,0,2,2,0,0,2,Standard,Standard,98,0.091,0.659
FF,10/3/22,93.6,-2.07,6.87,"Mikolas, Miles",641511,571945,,ball,,,,,11,Jason Delay doubles (6) on a line drive to right fielder Lars Nootbaar.,R,R,R,PIT,STL,B,,,1,2,2022,-0.36,1.34,-0.47,6.57,,,,0,6,Bot,,,,,668800,,,4.908058309,-136.2437354,2.029451069,-5.627889073,31.31795636,-16.25428117,3.32,1.48,,,,93.4,2195,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.21,,,,,,,,45,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,207,0,0.037
FF,10/3/22,92,-1.74,6.76,"Mikolas, Miles",641511,571945,,foul,,,,,3,Jason Delay doubles (6) on a line drive to right fielder Lars Nootbaar.,R,R,R,PIT,STL,S,,,1,2,2022,-0.32,1.54,0.78,3.08,,,,0,6,Bot,,,,,668800,,,7.058735747,-133.5919855,-6.723424365,-5.440705664,31.43611409,-12.48332261,3.32,1.53,,,,91.4,2334,6.2,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.26,,,,,,,,45,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,206,0,0
SL,10/3/22,87.5,-2.11,6.64,"Mikolas, Miles",641511,571945,,swinging_strike,,,,,8,Jason Delay doubles (6) on a line drive to right fielder Lars Nootbaar.,R,R,R,PIT,STL,S,,,1,1,2022,0.17,0.43,0.2,1.68,,,,0,6,Bot,,,,,668800,,,5.198100548,-127.1757734,-6.694546737,0.815767597,26.15980904,-26.34576896,3.32,1.53,,,,87.3,2314,6.2,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.27,,,,,,,,45,3,Slider,0,2,0,2,2,0,0,2,Standard,Standard,175,0,-0.054
CU,10/3/22,77,-2.05,6.82,"Mikolas, Miles",641511,571945,,ball,,,,,3,Jason Delay doubles (6) on a line drive to right fielder Lars Nootbaar.,R,R,R,PIT,STL,B,,,0,1,2022,0.57,-1.48,0.8,2.66,,,,0,6,Bot,,,,,668800,,,4.998273973,-111.9340543,1.008106945,3.608228382,25.2877758,-44.86312001,3.14,1.42,,,,75.9,2634,6.2,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.35,,,,,,,,45,2,Curveball,0,2,0,2,2,0,0,2,Standard,Standard,30,0,0.025
SL,10/3/22,86.7,-2.26,6.68,"Mikolas, Miles",641511,571945,,called_strike,,,,,6,Jason Delay doubles (6) on a line drive to right fielder Lars Nootbaar.,R,R,R,PIT,STL,S,,,0,0,2022,0.32,0.57,0.71,2.28,,,,0,6,Bot,,,,,668800,,,6.424348141,-126.0698949,-5.47969372,2.128504974,25.02817397,-25.21340934,3.12,1.38,,,,86.6,2432,6.2,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.26,,,,,,,,45,1,Slider,0,2,0,2,2,0,0,2,Standard,Standard,172,0,-0.034
FF,10/3/22,91.1,-1.82,6.77,"Mikolas, Miles",669261,571945,field_out,hit_into_play,,,,,3,Jack Suwinski flies out to right fielder Lars Nootbaar.,R,L,R,PIT,STL,X,9,fly_ball,1,0,2022,-0.48,1.43,0.33,3.06,,,660636,2,5,Bot,158.93,76.08,,,668800,,,6.415147693,-132.3898799,-6.389545559,-7.156469559,32.08764117,-14.19927852,3.48,1.59,316,88.4,32,90.4,2155,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.23,0.029,0.029,0,1,0,0,3,37,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,213,-0.031,-0.251
